"entity","field","value","source_key","run","date"
"Bulgaria","gov_sport_pct_gdp","0.2%, 2023","ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/gov_10a_exp (A.PC_GDP.S13.GF0801.TE, 2023)","2026-08-09a@OR","2026-08-09"
"Switzerland","gov_sport_budget_annual","2449.9/2619.0/2701.3/2942.8 MIO EUR for 2020/2021/2022/2023","ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/gov_10a_exp (A.MIO_EUR.S13.GF0801.TE, 2020-2023)","2026-08-09a@OR","2026-08-09"
"Switzerland","gov_sport_pct_gdp","0.3%, 2023","ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/gov_10a_exp (A.PC_GDP.S13.GF0801.TE, 2023)","2026-08-09a@OR","2026-08-09"
"Cyprus","gov_sport_budget_annual","78.5/51.5/60.9/50.6 MIO EUR for 2020/2021/2022/2023","ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/gov_10a_exp (A.MIO_EUR.S13.GF0801.TE, 2020-2023)","2026-08-09a@OR","2026-08-09"
"Cyprus","gov_sport_pct_gdp","0.2%, 2023","ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/gov_10a_exp (A.PC_GDP.S13.GF0801.TE, 2023)","2026-08-09a@OR","2026-08-09"
"Czechia","gov_sport_budget_annual","1027.6/1006.6/1318.2/1425.1 MIO EUR for 2020/2021/2022/2023","ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/gov_10a_exp (A.MIO_EUR.S13.GF0801.TE, 2020-2023)","2026-08-09a@OR","2026-08-09"
"Czechia","gov_sport_pct_gdp","0.4%, 2023","ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/gov_10a_exp (A.PC_GDP.S13.GF0801.TE, 2023)","2026-08-09a@OR","2026-08-09"
"Germany","gov_sport_budget_annual","9422.0/9363.0/10360.0(p)/11256.0(p) MIO EUR for 2020/2021/2022/2023","ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/gov_10a_exp (A.MIO_EUR.S13.GF0801.TE, 2020-2023)","2026-08-09a@OR","2026-08-09"
"Germany","gov_sport_pct_gdp","0.3%, 2023 (provisional)","ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/gov_10a_exp (A.PC_GDP.S13.GF0801.TE, 2023)","2026-08-09a@OR","2026-08-09"
"Denmark","gov_sport_budget_annual","1235.4/1238.4/1186.3/1269.0 MIO EUR for 2020/2021/2022/2023","ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/gov_10a_exp (A.MIO_EUR.S13.GF0801.TE, 2020-2023)","2026-08-09a@OR","2026-08-09"
"Denmark","gov_sport_pct_gdp","0.3%, 2023","ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/gov_10a_exp (A.PC_GDP.S13.GF0801.TE, 2023)","2026-08-09a@OR","2026-08-09"
"Estonia","gov_sport_budget_annual","159.4/203.3/195.2/228.4 MIO EUR for 2020/2021/2022/2023","ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/gov_10a_exp (A.MIO_EUR.S13.GF0801.TE, 2020-2023)","2026-08-09a@OR","2026-08-09"
"Estonia","gov_sport_pct_gdp","0.6%, 2023","ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/gov_10a_exp (A.PC_GDP.S13.GF0801.TE, 2023)","2026-08-09a@OR","2026-08-09"
"Greece","gov_sport_budget_annual","847.0/969.0/1084.0/1246.0 MIO EUR for 2020/2021/2022/2023","ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/gov_10a_exp (A.MIO_EUR.S13.GF0801.TE, 2020-2023)","2026-08-09a@OR","2026-08-09"
"Greece","gov_sport_pct_gdp","0.6%, 2023","ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/gov_10a_exp (A.PC_GDP.S13.GF0801.TE, 2023)","2026-08-09a@OR","2026-08-09"
"Spain","gov_sport_budget_annual","4697.0/5308.0/6112.0/6799.0 MIO EUR for 2020/2021/2022/2023","ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/gov_10a_exp (A.MIO_EUR.S13.GF0801.TE, 2020-2023)","2026-08-09a@OR","2026-08-09"
"Spain","gov_sport_pct_gdp","0.5%, 2023","ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/gov_10a_exp (A.PC_GDP.S13.GF0801.TE, 2023)","2026-08-09a@OR","2026-08-09"
"Finland","gov_sport_budget_annual","1359.0/1367.0/1349.0/1747.0 MIO EUR for 2020/2021/2022/2023","ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/gov_10a_exp (A.MIO_EUR.S13.GF0801.TE, 2020-2023)","2026-08-09a@OR","2026-08-09"
"Finland","gov_sport_pct_gdp","0.6%, 2023","ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/gov_10a_exp (A.PC_GDP.S13.GF0801.TE, 2023)","2026-08-09a@OR","2026-08-09"
"France","gov_sport_budget_annual","12680.6/13353.1/14802.1/15727.8(p) MIO EUR for 2020/2021/2022/2023","ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/gov_10a_exp (A.MIO_EUR.S13.GF0801.TE, 2020-2023)","2026-08-09a@OR","2026-08-09"
"France","gov_sport_pct_gdp","0.6%, 2023 (provisional)","ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/gov_10a_exp (A.PC_GDP.S13.GF0801.TE, 2023)","2026-08-09a@OR","2026-08-09"
"Croatia","gov_sport_budget_annual","234.7/238.0/257.9/324.1 MIO EUR for 2020/2021/2022/2023","ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/gov_10a_exp (A.MIO_EUR.S13.GF0801.TE, 2020-2023)","2026-08-09a@OR","2026-08-09"
"Croatia","gov_sport_pct_gdp","0.4%, 2023","ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/gov_10a_exp (A.PC_GDP.S13.GF0801.TE, 2023)","2026-08-09a@OR","2026-08-09"
"Hungary","gov_sport_budget_annual","1740.9/1239.2/1206.5/1488.8 MIO EUR for 2020/2021/2022/2023","ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/gov_10a_exp (A.MIO_EUR.S13.GF0801.TE, 2020-2023)","2026-08-09a@OR","2026-08-09"
"Hungary","gov_sport_pct_gdp","0.8%, 2023","ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/gov_10a_exp (A.PC_GDP.S13.GF0801.TE, 2023)","2026-08-09a@OR","2026-08-09"
"Ireland","gov_sport_budget_annual","375.5/398.8/407.0/461.3 MIO EUR for 2020/2021/2022/2023","ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/gov_10a_exp (A.MIO_EUR.S13.GF0801.TE, 2020-2023)","2026-08-09a@OR","2026-08-09"
"Ireland","gov_sport_pct_gdp","0.1%, 2023","ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/gov_10a_exp (A.PC_GDP.S13.GF0801.TE, 2023)","2026-08-09a@OR","2026-08-09"
"Iceland","gov_sport_budget_annual","318.8/342.9/415.8/434.8 MIO EUR for 2020/2021/2022/2023","ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/gov_10a_exp (A.MIO_EUR.S13.GF0801.TE, 2020-2023)","2026-08-09a@OR","2026-08-09"
"Iceland","gov_sport_pct_gdp","1.5%, 2023","ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/gov_10a_exp (A.PC_GDP.S13.GF0801.TE, 2023)","2026-08-09a@OR","2026-08-09"
"Italy","gov_sport_budget_annual","4366.2/5573.7/5446.4/6263.2 MIO EUR for 2020/2021/2022/2023","ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/gov_10a_exp (A.MIO_EUR.S13.GF0801.TE, 2020-2023)","2026-08-09a@OR","2026-08-09"
"Italy","gov_sport_pct_gdp","0.3%, 2023","ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/gov_10a_exp (A.PC_GDP.S13.GF0801.TE, 2023)","2026-08-09a@OR","2026-08-09"
"Lithuania","gov_sport_budget_annual","155.7/170.4/209.9/220.5 MIO EUR for 2020/2021/2022/2023","ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/gov_10a_exp (A.MIO_EUR.S13.GF0801.TE, 2020-2023)","2026-08-09a@OR","2026-08-09"
"Lithuania","gov_sport_pct_gdp","0.3%, 2023","ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/gov_10a_exp (A.PC_GDP.S13.GF0801.TE, 2023)","2026-08-09a@OR","2026-08-09"
"Luxembourg","gov_sport_budget_annual","318.4/344.1/398.2/468.8 MIO EUR for 2020/2021/2022/2023","ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/gov_10a_exp (A.MIO_EUR.S13.GF0801.TE, 2020-2023)","2026-08-09a@OR","2026-08-09"
"Luxembourg","gov_sport_pct_gdp","0.6%, 2023","ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/gov_10a_exp (A.PC_GDP.S13.GF0801.TE, 2023)","2026-08-09a@OR","2026-08-09"
"Latvia","gov_sport_budget_annual","66.2/70.5/101.2/87.7 MIO EUR for 2020/2021/2022/2023","ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/gov_10a_exp (A.MIO_EUR.S13.GF0801.TE, 2020-2023)","2026-08-09a@OR","2026-08-09"
"Latvia","gov_sport_pct_gdp","0.2%, 2023","ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/gov_10a_exp (A.PC_GDP.S13.GF0801.TE, 2023)","2026-08-09a@OR","2026-08-09"
"Malta","gov_sport_budget_annual","21.7/61.3/74.9/77.3 MIO EUR for 2020/2021/2022/2023","ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/gov_10a_exp (A.MIO_EUR.S13.GF0801.TE, 2020-2023)","2026-08-09a@OR","2026-08-09"
"Malta","gov_sport_pct_gdp","0.4%, 2023","ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/gov_10a_exp (A.PC_GDP.S13.GF0801.TE, 2023)","2026-08-09a@OR","2026-08-09"
"Netherlands","gov_sport_budget_annual","4266.0/4359.0/4511.0/5047.0 MIO EUR for 2020/2021/2022/2023","ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/gov_10a_exp (A.MIO_EUR.S13.GF0801.TE, 2020-2023)","2026-08-09a@OR","2026-08-09"
"Netherlands","gov_sport_pct_gdp","0.5%, 2023","ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/gov_10a_exp (A.PC_GDP.S13.GF0801.TE, 2023)","2026-08-09a@OR","2026-08-09"
"Norway","gov_sport_budget_annual","1700.0/1772.3/1946.9/1870.2 MIO EUR for 2020/2021/2022/2023","ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/gov_10a_exp (A.MIO_EUR.S13.GF0801.TE, 2020-2023)","2026-08-09a@OR","2026-08-09"
"Norway","gov_sport_pct_gdp","0.4%, 2023","ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/gov_10a_exp (A.PC_GDP.S13.GF0801.TE, 2023)","2026-08-09a@OR","2026-08-09"
"Poland","gov_sport_budget_annual","2078.7/2218.7/2476.6/3546.5 MIO EUR for 2020/2021/2022/2023","ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/gov_10a_exp (A.MIO_EUR.S13.GF0801.TE, 2020-2023)","2026-08-09a@OR","2026-08-09"
"Poland","gov_sport_pct_gdp","0.5%, 2023","ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/gov_10a_exp (A.PC_GDP.S13.GF0801.TE, 2023)","2026-08-09a@OR","2026-08-09"
"Portugal","gov_sport_budget_annual","669.2/829.2/768.7/692.8 MIO EUR for 2020/2021/2022/2023","ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/gov_10a_exp (A.MIO_EUR.S13.GF0801.TE, 2020-2023)","2026-08-09a@OR","2026-08-09"
"Portugal","gov_sport_pct_gdp","0.3%, 2023","ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/gov_10a_exp (A.PC_GDP.S13.GF0801.TE, 2023)","2026-08-09a@OR","2026-08-09"
"Romania","gov_sport_budget_annual","654.8/669.7/863.2/1043.0 MIO EUR for 2020/2021/2022/2023","ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/gov_10a_exp (A.MIO_EUR.S13.GF0801.TE, 2020-2023)","2026-08-09a@OR","2026-08-09"
"Romania","gov_sport_pct_gdp","0.3%, 2023","ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/gov_10a_exp (A.PC_GDP.S13.GF0801.TE, 2023)","2026-08-09a@OR","2026-08-09"
"Sweden","gov_sport_budget_annual","3538.8/4065.4/3515.2/3687.8 MIO EUR for 2020/2021/2022/2023","ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/gov_10a_exp (A.MIO_EUR.S13.GF0801.TE, 2020-2023)","2026-08-09a@OR","2026-08-09"
"Sweden","gov_sport_pct_gdp","0.7%, 2023","ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/gov_10a_exp (A.PC_GDP.S13.GF0801.TE, 2023)","2026-08-09a@OR","2026-08-09"
"Slovenia","gov_sport_budget_annual","145.8/151.8/223.7/247.5 MIO EUR for 2020/2021/2022/2023","ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/gov_10a_exp (A.MIO_EUR.S13.GF0801.TE, 2020-2023)","2026-08-09a@OR","2026-08-09"
"Slovenia","gov_sport_pct_gdp","0.4%, 2023","ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/gov_10a_exp (A.PC_GDP.S13.GF0801.TE, 2023)","2026-08-09a@OR","2026-08-09"
"Slovakia","gov_sport_budget_annual","262.4(p)/271.9(p)/321.8(p)/319.0(p) MIO EUR for 2020/2021/2022/2023","ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/gov_10a_exp (A.MIO_EUR.S13.GF0801.TE, 2020-2023)","2026-08-09a@OR","2026-08-09"
"Slovakia","gov_sport_pct_gdp","0.3%, 2023 (provisional)","ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/gov_10a_exp (A.PC_GDP.S13.GF0801.TE, 2023)","2026-08-09a@OR","2026-08-09"
"EU-27 (aggregate)","gov_sport_budget_annual","€67.6 billion, 2023","ec.europa.eu/eurostat/statistics-explained/index.php?title=Government_expenditure_on_recreational_and_sporting_services","2026-08-09a@OR","2026-08-09"
"EU-27 (aggregate)","gov_sport_pct_gdp","0.4% of GDP, 2023","ec.europa.eu/eurostat/statistics-explained/index.php?title=Government_expenditure_on_recreational_and_sporting_services","2026-08-09a@OR","2026-08-09"
"EU-27 (aggregate)","gov_sport_pct_total_expenditure","0.8% of total general government expenditure, 2023","ec.europa.eu/eurostat/statistics-explained/index.php?title=Government_expenditure_on_recreational_and_sporting_services","2026-08-09a@OR","2026-08-09"
"Hungary","gov_sport_pct_gdp","0.7% of GDP, 2023","ec.europa.eu/eurostat/statistics-explained/index.php?title=Government_expenditure_on_recreational_and_sporting_services","2026-08-09a@OR","2026-08-09"
"Finland","gov_sport_pct_gdp","0.7% of GDP, 2023","ec.europa.eu/eurostat/statistics-explained/index.php?title=Government_expenditure_on_recreational_and_sporting_services","2026-08-09a@OR","2026-08-09"
"Sweden","gov_sport_pct_gdp","0.7% of GDP, 2023","ec.europa.eu/eurostat/statistics-explained/index.php?title=Government_expenditure_on_recreational_and_sporting_services","2026-08-09a@OR","2026-08-09"
"Iceland","gov_sport_pct_gdp","1.5% of GDP, 2023 (highest among EFTA countries)","ec.europa.eu/eurostat/statistics-explained/index.php?title=Government_expenditure_on_recreational_and_sporting_services","2026-08-09a@OR","2026-08-09"
"Ireland","gov_sport_pct_total_expenditure","0.1% of total government expenditure, 2023 (lowest)","ec.europa.eu/eurostat/statistics-explained/index.php?title=Government_expenditure_on_recreational_and_sporting_services","2026-08-09a@OR","2026-08-09"
"Bulgaria","gov_sport_pct_total_expenditure","0.1% of total government expenditure, 2023 (lowest)","ec.europa.eu/eurostat/statistics-explained/index.php?title=Government_expenditure_on_recreational_and_sporting_services","2026-08-09a@OR","2026-08-09"
"Luxembourg","gov_sport_spend_per_capita","€492 per inhabitant, 2017 (recreation and sport government expenditure)","google:OECD government expenditure on sport recreation COFOG by country","2026-08-09a@OR","2026-08-09"
"Sweden","gov_sport_spend_per_capita","€256 per inhabitant, 2017","google:OECD government expenditure on sport recreation COFOG by country","2026-08-09a@OR","2026-08-09"
"Finland","gov_sport_spend_per_capita","€206 per inhabitant, 2017","google:OECD government expenditure on sport recreation COFOG by country","2026-08-09a@OR","2026-08-09"
"Italy","gov_sport_pct_gdp","0.8% of GDP, 2023 (broader COFOG 08 'recreation, culture and religion' category, not sport-only)","google:Eurostat gov_10a_exp recreational sporting services percentage GDP Germany France Italy Spain","2026-08-09a@OR","2026-08-09"
"United States","gov_sport_budget_annual","~$45B (est.) state+local direct expenditure on 'parks and recreation' function (Census category; broader than sport alone) — no US federal sport ministry exists","urban.org/policy-centers/cross-center-initiatives/state-and-local-finance-initiative/state-and-local-backgrounders/state-and-local-expenditures","2026-08-09a@OR","2026-08-09"
"United States","gov_sport_budget_annual","$41B local park & recreation agency operations spending (10,000+ agencies), separate from capital spending","engine:nrpa local park agencies operations spending 2021 economic impact billion","2026-08-09a@OR","2026-08-09"
"United States","gov_sport_spend_per_capita","~$136 (calc: $45B / ~331.9M population, 2021)","urban.org/policy-centers/cross-center-initiatives/state-and-local-finance-initiative/state-and-local-backgrounders/state-and-local-expenditures","2026-08-09a@OR","2026-08-09"
"United States","gov_sport_spend_per_capita","North Dakota $425/capita (highest state); Colorado $270/capita — state-level range, not national average","engine:census state local government spending parks recreation billion 2009 2013 real 2018 dollars","2026-08-09a@OR","2026-08-09"
"United States (state+local total, historical)","gov_sport_budget_annual","$48.5B (2009 peak, real 2018$) declining to $39.9B (2013, real 2018$)","engine:census state local government spending parks recreation billion 2009 2013 real 2018 dollars","2026-08-09a@OR","2026-08-09"
"United States — USOPC (Team USA, non-governmental)","gov_sport_budget_annual","USOPC total expenses $287M FY2023 (revenue $256M); note USOPC is NOT government-funded — private/sponsor-funded national Olympic committee","usopc.org/2023-impact-report/financial-summary","2026-08-09a@OR","2026-08-09"
"United States — USOPC","registered_athletes","1,509 athletes received stipends; 1,468 athletes received medical benefits (FY2023, elite/Team USA pool, not general population registered athletes)","usopc.org/2023-impact-report/financial-summary","2026-08-09a@OR","2026-08-09"
"United States — USOPC","gov_sport_spend_per_athlete","~$112,657 (calc: $170M athlete-excellence spend / 1,509 stipended athletes, FY2023) — NOT government spend, USOPC private funds","usopc.org/2023-impact-report/financial-summary","2026-08-09a@OR","2026-08-09"
"United States","population","~331.9 million (2021)","urban.org/policy-centers/cross-center-initiatives/state-and-local-finance-initiative/state-and-local-backgrounders/state-and-local-expenditures","2026-08-09a@OR","2026-08-09"
"Canada","gov_sport_budget_annual","CAD 178.7 million (Sport Support Program, Sport Canada/Canadian Heritage)","search.open.canada.ca/qpnotes/record/pch,pch-2024-qp-00045","2026-08-09a@OR","2026-08-09"
"Canada","gov_sport_budget_annual","CAD 190 million (Sport Support Program 2024-25: $177M base + $8M Safe Sport + $5M community sport programming, per Budget 2024)","ddg:sport canada funding budget site:canada.ca sport support program total","2026-08-09a@OR","2026-08-09"
"Canada","gov_sport_spend_per_athlete","AAP CAD 33 million distributed to more than 1,800 carded high-performance athletes across 94+ sport disciplines = approx. CAD 18,333 per athlete (avg, derived)","search.open.canada.ca/qpnotes/record/pch,pch-2024-qp-00045","2026-08-09a@OR","2026-08-09"
"Canada","registered_athletes","more than 1,800 Athlete Assistance Program (AAP) carded athletes","search.open.canada.ca/qpnotes/record/pch,pch-2024-qp-00045","2026-08-09a@OR","2026-08-09"
"Canada","gov_sport_spend_per_athlete","AAP senior card monthly living/training allowance CAD 2,300 (5.5% increase); Excellence Living/Training Allowance and Child Dependent Allowance CAD 615/month (23% increase); +30 new senior card positions added","ddg:athlete assistance program canada monthly living training allowance senior card amount","2026-08-09a@OR","2026-08-09"
"Canada","population","41,528,680 (as of January 1, 2025); 41,012,563 (as of April 1, 2024, when Canada surpassed 41 million)","ddg:canada population 2024 statcan 41 million","2026-08-09a@OR","2026-08-09"
"Canada","gov_sport_spend_per_capita","approx. CAD 4.35 per capita (derived: CAD 178.7M SSP budget / ~41.05M population, 2023-24)","search.open.canada.ca/qpnotes/record/pch,pch-2024-qp-00045","2026-08-09a@OR","2026-08-09"
"UK Sport","gov_sport_budget_annual","£330m over 4-year LA2028 cycle (~£82.5m/yr avg), Govt+National Lottery combined","uksport.gov.uk/news/2024/12/16/greatest-investment-on-journey-to-la-2028","2026-08-09a@OR","2026-08-09"
"UK Sport","gov_sport_budget_annual","£352m over Paris 2021-2025 cycle (~£70-88m/yr avg depending on cycle length), 43 sports","web:uk sport cost per medal paris 2024 tokyo 2020 figure million","2026-08-09a@OR","2026-08-09"
"UK Sport","gov_sport_budget_annual","£345m over Tokyo cycle, 32 sports","web:uk sport cost per medal paris 2024 tokyo 2020 figure million","2026-08-09a@OR","2026-08-09"
"UK Sport","registered_athletes","~1,200 (Podium + Development level World Class Programme athletes funded annually)","web:world class programme uk sport total 1000 athletes funded across all sports","2026-08-09a@OR","2026-08-09"
"UK Sport","gov_sport_spend_per_athlete","~£83,000/athlete/yr (derived: ~£100m WCP annual spend / ~1,200 funded athletes)","web:world class programme uk sport total 1000 athletes funded across all sports","2026-08-09a@OR","2026-08-09"
"UK Sport","cost_per_medal","Cycling £2.7m/medal (£29.3m funding / 11 medals, Paris 2024); Gymnastics £4.5m/medal","cityam.com/how-much-uk-sport-funding-did-each-team-gb-medal-cost-in-paris","2026-08-09a@OR","2026-08-09"
"Sport England","gov_sport_budget_annual",">£600m invested in programmes since 2022 (multi-year cumulative, implies ~£150-200m/yr)","web:sport england invested funding 2024-25 million total annual report highlights","2026-08-09a@OR","2026-08-09"
"Sport England","gov_sport_budget_annual","£160m Movement Fund launched April 2024 (one program within larger annual budget, not total budget)","web:sport england invested funding 2024-25 million total annual report highlights","2026-08-09a@OR","2026-08-09"
"United Kingdom","population","69,281,400 (mid-2024 estimate)","web:uk population 2024 ons mid-year estimate total","2026-08-09a@OR","2026-08-09"
"England","registered_athletes","30.9 million adults met CMO physical activity guidelines (Nov 2024-Nov 2025); 30 million (Nov 2023-Nov 2024)","web:active lives survey 2024 number of people playing sport england participation million","2026-08-09a@OR","2026-08-09"
"Germany","gov_sport_budget_annual","282.55 million EUR (BMI Sportförderung, Titelgruppe 02, Einzelplan 06)","google:Bundeshaushalt Sportförderung Gesamtausgaben 2024 Millionen Euro BMI Spitzensportförderung insgesamt","2026-08-09a@OR","2026-08-09"
"Germany","gov_sport_budget_annual","~333 million EUR (BMI Sportförderung, +50M vs 2024)","google:BMI Sportförderung Bundeshaushalt 2024 Millionen Euro Spitzensport","2026-08-09a@OR","2026-08-09"
"Germany","population","83.6 million (end of 2024)","destatis.de/DE/Presse/Pressemitteilungen/2025/01/PD25_030_124.html","2026-08-09a@OR","2026-08-09"
"Germany","registered_athletes","27,874,195 club memberships (DOSB, >86,000 Sportvereine)","google:DOSB Bestandserhebung 2023 Mitglieder Anzahl Millionen","2026-08-09a@OR","2026-08-09"
"Germany","gov_sport_spend_per_capita","~3.38 EUR (282.55M / 83.6M, derived, not from a source)","google:Bundeshaushalt Sportförderung Gesamtausgaben 2024 Millionen Euro BMI Spitzensportförderung insgesamt","2026-08-09a@OR","2026-08-09"
"Germany","gov_sport_spend_per_athlete","~10.13 EUR (282.55M / 27.87M memberships, derived, not from a source)","google:Bundeshaushalt Sportförderung Gesamtausgaben 2024 Millionen Euro BMI Spitzensportförderung insgesamt","2026-08-09a@OR","2026-08-09"
"France","gov_sport_budget_annual","1,023,000,000 EUR (mission Sport, jeunesse et vie associative, incl. ANS 437M + ministry direct actions 359.7M, 2024 PLF)","web:budget ministere des sports 2024 milliard JOP total credits sports.gouv.fr","2026-08-09a@OR","2026-08-09"
"France","gov_sport_budget_annual","461,000,000 EUR (Agence nationale du Sport only, 2024 revenues, +5.3% vs 2023's 462.9M)","web:agence nationale du sport budget 2024 millions d'euros historique 2023-12","2026-08-09a@OR","2026-08-09"
"France","gov_sport_budget_annual","427,700,000 EUR (ANS actual 2025 spend; 377.4M EUR revenue, 98.4% execution)","patrickbayeux.com:3774-me-de-recettes-4277-me-de-depenses-984-dexecution-lans-publie-son-bilan-2025","2026-08-09a@OR","2026-08-09"
"France","registered_athletes","16,500,000 (licences sportives annuelles delivered by 120 federations agréées, 2023)","web:licences sportives France INJEP 2023 nombre chiffres clés du sport","2026-08-09a@OR","2026-08-09"
"France","population","68,400,000 (as of Jan 1 2024)","web:population France INSEE 2024 68 millions habitants","2026-08-09a@OR","2026-08-09"
"France","population","68,600,000 (as of Jan 1 2025)","web:population France INSEE 2024 68 millions habitants","2026-08-09a@OR","2026-08-09"
"France","gov_sport_spend_per_capita","~15.0 EUR (calc: 1.023bn / 68.4M, 2024 mission budget basis)","web:budget ministere des sports 2024 milliard JOP total credits sports.gouv.fr","2026-08-09a@OR","2026-08-09"
